metric_id,metric_date,total_cases_analyzed,avg_confidence_score,tier1_cases,tier2_cases,tier3_cases,tier4_cases,avg_response_time_ms,red_flags_detected,rare_diseases_identified,total_api_calls,cache_hit_rate,uptime_percentage
M001,2024-01-15,10,0.84,6,3,1,0,2450,3,0,45,0.78,99.9
M002,2024-01-16,10,0.83,5,4,1,0,2380,4,0,42,0.81,99.8
M003,2024-01-17,10,0.81,4,4,2,0,2520,5,2,48,0.76,99.9
M004,2024-01-18,8,0.85,5,2,1,0,2310,2,1,38,0.83,100.0
M005,2024-01-19,12,0.82,6,4,2,0,2470,3,1,52,0.79,99.7
M006,2024-01-20,9,0.86,6,2,1,0,2290,2,0,41,0.85,99.9
M007,2024-01-21,11,0.83,5,5,1,0,2410,4,1,47,0.80,99.8
M008,2024-01-22,15,0.84,8,5,2,0,2350,5,2,63,0.82,99.9
M009,2024-01-23,13,0.85,7,4,2,0,2280,3,1,56,0.84,100.0
M010,2024-01-24,10,0.83,5,3,2,0,2420,4,1,45,0.77,99.8
M011,2024-01-25,14,0.86,9,3,2,0,2260,2,0,59,0.86,99.9
M012,2024-01-26,11,0.84,6,4,1,0,2380,3,1,48,0.81,99.9
M013,2024-01-27,9,0.82,4,4,1,0,2490,4,2,42,0.75,99.7
M014,2024-01-28,16,0.85,9,5,2,0,2320,5,1,68,0.83,100.0
